player,birth_date
adam armstrong,10-02-1997
adam smith,29-04-1991
adama traoré,25-01-1996
alisson,02-10-1992
andre brooks,20-08-2003
andrew robertson,11-03-1994
andy irving,13-05-2000
antony,24-02-2000
archie gray,12-03-2006
ben johnson,24-01-2000
benjamin white,08-10-1997
beto,31-01-1998
boubacar traoré,20-08-2001
charlie taylor,18-09-1993
conor chaplin,16-02-1997
danilo,29-04-2001
david brooks,08-07-1997
diego gómez,27-03-2003
ederson,17-08-1993
edward nketiah,30-05-1999
elliot anderson,06-11-2002
felipe,16-05-1989
fábio silva,19-07-2002
fábio vieira,30-05-2000
harrison reed,27-01-1995
harry clarke,02-03-2001
hjalmar ekdal,21-10-1998
jack harrison,20-11-1996
jack robinson,01-09-1993
jack taylor,23-06-1998
jacob brown,10-04-1998
jake o'brien,15-05-2001
james bree,11-12-1997
james garner,13-03-2001
jason steele,18-08-1990
joelinton,14-08-1996
jordan clark,22-09-1993
josé sá,17-01-1993
leon bailey,09-08-1997
lewis hall,08-08-2004
luis díaz,13-01-1997
luke berry,12-07-1992
manuel ugarte,11-04-2001
mark travers,18-05-1999
mateus fernandes,10-07-2004
matheus frança,01-04-2004
max kilman,23-05-1997
morato,30-06-2001
morgan rogers,26-07-2002
murillo,04-07-2002
nathan collins,30-04-2001
nathan wood,31-05-2002
neto,09-03-2000
nuno tavares,26-01-2000
thomas partey,13-06-1993
vinícius souza,17-06-1999
welington,19-02-2001
yehor yarmoliuk,01-03-2004
djordje petrovic,08-10-1999
