player,birth_date,Zodiac
nathan wood,31-05-2002,Gemini
beto,31-01-1998,Aquarius
morato,30-06-2001,Cancer
fãâ¡bio vieira,30-05-2000,Gemini
edward nketiah,30-05-1999,Gemini
nathan collins,30-04-2001,Taurus
danilo,29-04-2001,Taurus
adam smith,29-04-1991,Taurus
diego gãâ³mez,27-03-2003,Aries
harrison reed,27-01-1995,Aquarius
morgan rogers,26-07-2002,Leo
nuno tavares,26-01-2000,Aquarius
adama traorãâ©,25-01-1996,Aquarius
antony,24-02-2000,Pisces
ben johnson,24-01-2000,Aquarius
jack taylor,23-06-1998,Cancer
max kilman,23-05-1997,Gemini
jordan clark,22-09-1993,Virgo
hjalmar ekdal,21-10-1998,Libra
jeremy monga,10-07-2009,Cancer
chido obi-martin,29-11-2007,Sagittarius
mikey moore,11-08-2007,Leo
ethan nwaneri,21-03-2007,Aries
harry amass,16-03-2007,Pisces
myles lewis-skelly,26-09-2006,Libra
ayden heaven,22-09-2006,Virgo
josh acheampong,05-05-2006,Taurus
lewis miley,01-05-2006,Taurus
tyler dibling,12-03-2006,Pisces
tyrique george,04-02-2006,Aquarius
lucas bergvall,02-02-2006,Aquarius
oliver scarles,12-12-2005,Sagittarius
leny yoro,13-11-2005,Scorpio
romain esse,13-05-2005,Taurus
mathys tel,27-04-2005,Taurus
kobbie mainoo,19-04-2005,Aries
dean huijsen,14-04-2005,Aries
jack hinshelwood,11-04-2005,Aries
nico o'reilly,21-03-2005,Aries
tyler fredricson,23-02-2005,Pisces
facundo buonanotte,23-12-2004,Capricorn
wilson odobert,28-11-2004,Sagittarius
rico lewis,21-11-2004,Scorpio
patrick dorgu,26-10-2004,Scorpio
evan ferguson,19-10-2004,Libra
luca koleosho,15-09-2004,Virgo
george earthy,05-09-2004,Virgo
valentãâ­n barco,23-07-2004,Leo
yankuba minteh,22-07-2004,Cancer
omari forson,20-07-2004,Cancer
michael kayode,10-07-2004,Cancer
alejandro garnacho,01-07-2004,Cancer
brajan gruda,31-05-2004,Gemini
youssef chermiti,24-05-2004,Gemini
bilal el khannouss,10-05-2004,Taurus
oliver arblaster,05-05-2004,Taurus
savinho,10-04-2004,Aries
lesley ugochukwu,26-03-2004,Aries
dane scarlett,24-03-2004,Aries
abdul fatawu issahaku,08-03-2004,Pisces
yehor yarmolyuk,01-03-2004,Pisces
abdukodir khusanov,29-02-2004,Pisces
adam wharton,06-02-2004,Aquarius
julio enciso,23-01-2004,Aquarius
romãâ©o lavia,06-01-2004,Capricorn
lamare bogarde,05-01-2004,Capricorn
toby collyer,03-01-2004,Capricorn
carlos baleba,03-01-2004,Capricorn
jhon durãâ¡n,13-12-2003,Sagittarius
alfie gilchrist,28-11-2003,Sagittarius
miloãâ¡ kerkez,07-11-2003,Scorpio
omari hutchinson,29-10-2003,Scorpio
carney chukwuemeka,20-10-2003,Libra
justin devenny,11-10-2003,Libra
yasin ayari,06-10-2003,Libra
alejo vãâ©liz,19-09-2003,Virgo
william osula,04-08-2003,Leo
renato veiga,29-07-2003,Leo
